treatment,sub,rep,rfu,time,date,day ,exp.time,exp.date,fluorophore
C,3,3,126240.38,12:11,2/13/17,6,10:08,2/13/17,AMC
F,3,1,126253.35,13:11,2/20/17,13,11:01,2/20/17,AMC
D,3,2,223750.01,13:36,2/10/17,3,11:32,2/10/17,AMC
D,2,3,126510.17,12:22,2/15/17,8,9:58,2/15/17,AMC
A,1,3,126615.12,12:19,2/10/17,3,11:32,2/10/17,AMC
D,3,3,126702.45,13:16,2/9/17,2,10:44,2/9/17,AMC
E,3,2,126746.39,12:15,2/13/17,6,10:08,2/13/17,AMC
B,3,3,126767.82,10:02,2/15/17,8,9:58,2/15/17,AMC
C,3,3,126873.57,13:12,2/8/17,1,11:22,2/8/17,AMC
C,3,1,127067.28,12:12,2/22/17,15,9:41,2/22/17,AMC
C,3,2,127228.66,11:19,2/15/17,8,9:58,2/15/17,AMC
A,1,2,127626.24,10:36,2/15/17,8,9:58,2/15/17,AMC
A,1,3,127639.52,10:36,2/15/17,8,9:58,2/15/17,AMC
A,2,3,127738.07,12:21,2/10/17,3,11:32,2/10/17,AMC
D,1,1,127951.61,13:12,2/8/17,1,11:22,2/8/17,AMC
B,1,2,128195.31,13:08,2/9/17,2,10:44,2/9/17,AMC
D,3,1,128200.13,11:22,2/15/17,8,9:58,2/15/17,AMC
C,3,1,128277.56,12:11,2/13/17,6,10:08,2/13/17,AMC
C,3,2,128285.73,12:29,2/10/17,3,11:32,2/10/17,AMC
F,1,2,128405.83,12:32,2/22/17,15,9:41,2/22/17,AMC
A,1,3,145291.51,11:12,2/13/17,6,10:08,2/13/17,AMC
A,3,1,128494.1,11:49,2/9/17,2,10:44,2/9/17,AMC
D,3,2,128699.53,11:22,2/15/17,8,9:58,2/15/17,AMC
B,1,1,128989.71,13:08,2/9/17,2,10:44,2/9/17,AMC
A,2,3,143509.17,10:42,2/13/17,6,10:08,2/13/17,AMC
A,1,3,129101.52,12:02,2/20/17,13,11:01,2/20/17,AMC
A,1,2,136302.4,11:12,2/13/17,6,10:08,2/13/17,AMC
E,3,3,129215.84,11:25,2/15/17,8,9:58,2/15/17,AMC
F,1,1,129446.48,13:11,2/20/17,13,11:01,2/20/17,AMC
B,3,2,129616.14,13:09,2/8/17,1,11:22,2/8/17,AMC
D,2,2,129693.84,12:06,2/8/17,1,11:22,2/8/17,AMC
B,3,3,129704.28,10:44,2/13/17,6,10:08,2/13/17,AMC
F,3,2,129733.75,12:32,2/22/17,15,9:41,2/22/17,AMC
D,2,2,228313.75,13:35,2/10/17,3,11:32,2/10/17,AMC
F,1,1,129915.22,11:24,2/13/17,6,10:08,2/13/17,AMC
A,1,1,129974.24,11:47,2/9/17,2,10:44,2/9/17,AMC
A,3,2,130050.26,12:26,2/8/17,1,11:22,2/8/17,AMC
B,1,2,130132.6,13:07,2/8/17,1,11:22,2/8/17,AMC
C,3,2,130389.73,12:12,2/22/17,15,9:41,2/22/17,AMC
D,2,1,130398.67,12:05,2/8/17,1,11:22,2/8/17,AMC
B,3,2,130420.27,10:39,2/15/17,8,9:58,2/15/17,AMC
B,3,3,130468.54,13:10,2/9/17,2,10:44,2/9/17,AMC
A,1,2,130691.71,12:24,2/8/17,1,11:22,2/8/17,AMC
C,3,1,131445.26,10:40,2/15/17,8,9:58,2/15/17,AMC
D,3,3,131543.32,12:23,2/15/17,8,9:58,2/15/17,AMC
B,2,1,131576.07,13:31,2/10/17,3,11:32,2/10/17,AMC
A,3,2,131634.2,9:59,2/15/17,8,9:58,2/15/17,AMC
C,3,2,131636.18,12:04,2/20/17,13,11:01,2/20/17,AMC
A,3,1,131710.95,12:26,2/8/17,1,11:22,2/8/17,AMC
F,2,3,131757.85,10:35,2/22/17,15,9:41,2/22/17,AMC
B,3,3,131837.93,13:09,2/8/17,1,11:22,2/8/17,AMC
D,3,2,131870.89,13:15,2/8/17,1,11:22,2/8/17,AMC
E,2,3,131996.75,13:15,2/10/17,3,11:32,2/10/17,AMC
A,3,2,132198.64,11:49,2/9/17,2,10:44,2/9/17,AMC
D,3,3,132589.85,12:15,2/22/17,15,9:41,2/22/17,AMC
D,2,3,132598.06,12:06,2/8/17,1,11:22,2/8/17,AMC
F,2,3,132608.01,11:27,2/15/17,8,9:58,2/15/17,AMC
A,3,1,132772.37,12:08,2/13/17,6,10:08,2/13/17,AMC
C,3,2,132794.95,12:22,2/15/17,8,9:58,2/15/17,AMC
B,2,3,132819.96,12:24,2/22/17,15,9:41,2/22/17,AMC
E,3,1,132835.78,12:55,2/9/17,2,10:44,2/9/17,AMC
C,3,1,132922.79,12:25,2/22/17,15,9:41,2/22/17,AMC
A,1,3,132976.14,12:25,2/8/17,1,11:22,2/8/17,AMC
A,1,2,133732.17,10:30,2/22/17,15,9:41,2/22/17,AMC
C,2,1,134261.71,12:03,2/8/17,1,11:22,2/8/17,AMC
E,3,2,134453.93,11:25,2/15/17,8,9:58,2/15/17,AMC
D,3,2,134552.6,11:21,2/13/17,6,10:08,2/13/17,AMC
C,2,2,134685.18,12:28,2/10/17,3,11:32,2/10/17,AMC
A,1,1,134750.54,12:19,2/10/17,3,11:32,2/10/17,AMC
C,3,3,134813.12,11:19,2/15/17,8,9:58,2/15/17,AMC
D,3,3,134910.82,13:15,2/8/17,1,11:22,2/8/17,AMC
B,3,2,135021.21,12:10,2/22/17,15,9:41,2/22/17,AMC
E,3,1,135295.5,12:15,2/13/17,6,10:08,2/13/17,AMC
C,2,2,135408.34,12:03,2/8/17,1,11:22,2/8/17,AMC
E,3,3,135436.82,12:24,2/15/17,8,9:58,2/15/17,AMC
B,2,3,135577.87,12:01,2/8/17,1,11:22,2/8/17,AMC
D,2,1,135764.4,11:54,2/9/17,2,10:44,2/9/17,AMC
D,3,3,135764.4,12:29,2/22/17,15,9:41,2/22/17,AMC
D,1,3,57906.1,11:42,2/10/17,3,11:32,2/10/17,AMC
A,3,2,129197.98,10:42,2/13/17,6,10:08,2/13/17,AMC
A,1,1,136628.34,12:24,2/8/17,1,11:22,2/8/17,AMC
A,1,3,136768.53,11:47,2/9/17,2,10:44,2/9/17,AMC
E,2,3,137012.35,13:37,2/10/17,3,11:32,2/10/17,AMC
A,3,3,137048.53,11:49,2/9/17,2,10:44,2/9/17,AMC
A,3,1,137150.98,10:37,2/15/17,8,9:58,2/15/17,AMC
E,3,1,137512.01,11:24,2/15/17,8,9:58,2/15/17,AMC
E,2,2,137724.98,13:15,2/10/17,3,11:32,2/10/17,AMC
E,2,3,137914.31,12:08,2/8/17,1,11:22,2/8/17,AMC
E,2,1,138218.68,12:08,2/8/17,1,11:22,2/8/17,AMC
E,2,2,138290.67,12:08,2/8/17,1,11:22,2/8/17,AMC
B,2,1,138348.84,12:01,2/8/17,1,11:22,2/8/17,AMC
B,3,3,138884.62,11:37,2/20/17,13,11:01,2/20/17,AMC
D,3,2,139336.9,12:23,2/15/17,8,9:58,2/15/17,AMC
E,1,2,139698.06,13:14,2/10/17,3,11:32,2/10/17,AMC
B,2,3,139913.78,13:07,2/20/17,13,11:01,2/20/17,AMC
C,3,2,140089.37,12:25,2/22/17,15,9:41,2/22/17,AMC
A,3,1,140349.75,10:30,2/22/17,15,9:41,2/22/17,AMC
F,2,3,140399.76,12:07,2/20/17,13,11:01,2/20/17,AMC
A,3,1,140574.68,11:02,2/20/17,13,11:01,2/20/17,AMC
E,3,1,140614.01,13:18,2/9/17,2,10:44,2/9/17,AMC
E,3,2,140665.32,13:16,2/10/17,3,11:32,2/10/17,AMC
A,3,1,140812.1,12:22,2/10/17,3,11:32,2/10/17,AMC
D,2,3,88467.39,11:42,2/10/17,3,11:32,2/10/17,AMC
C,3,1,141523.47,11:19,2/15/17,8,9:58,2/15/17,AMC
D,3,1,141903.96,12:23,2/15/17,8,9:58,2/15/17,AMC
D,1,3,100985.39,12:30,2/10/17,3,11:32,2/10/17,AMC
B,3,3,143431.95,10:32,2/22/17,15,9:41,2/22/17,AMC
A,2,2,129044.63,10:41,2/13/17,6,10:08,2/13/17,AMC
C,1,2,143744.42,12:27,2/10/17,3,11:32,2/10/17,AMC
E,2,3,143928.46,11:57,2/9/17,2,10:44,2/9/17,AMC
A,2,1,144162.03,12:20,2/10/17,3,11:32,2/10/17,AMC
E,3,2,144581.18,12:24,2/15/17,8,9:58,2/15/17,AMC
C,3,3,145055.93,12:22,2/15/17,8,9:58,2/15/17,AMC
